Disease,Symptoms,Remedies,Precautions,Treatment
Flu,"Fever, Cough, Fatigue","Rest, fluids, over-the-counter medication","Wash hands regularly, avoid contact with sick people","Antiviral medication, symptom relief medication"
Asthma,"Wheezing, Shortness of breath, Chest tightness","Avoiding triggers (e.g. tobacco smoke), medication (e.g. bronchodilators)","Avoiding triggers (e.g. pollen, dust), avoid exercising in cold weather","Bronchodilators, corticosteroids, allergy shots"
Diabetes,"Frequent urination, Increased thirst, Blurred vision","Healthy diet, regular exercise, insulin injections","Regular blood sugar monitoring, avoid sugary drinks","Insulin injections, oral medication, blood sugar monitoring"
Migraine,"Throbbing headache, Sensitivity to light/sound, Nausea","Rest, avoid triggers (e.g. stress, certain foods)","Maintain a regular sleep schedule, avoid dehydration","Over-the-counter pain relief medication, prescription medication"
Depression,"Persistent sadness, Loss of interest in activities, Fatigue","Psychotherapy, medication (e.g. antidepressants)","Regular exercise, healthy diet, avoid alcohol/drugs","Antidepressants, psychotherapy"
Acne,"Whiteheads, blackheads, pimples","Cleanse face with gentle soap, avoid touching face","Avoid harsh skin products, avoid picking at blemishes","Topical medication, oral medication"
Allergies,"Sneezing, runny nose, itchy eyes","Avoid allergens (e.g. pollen, dust, pet dander), antihistamines","Keep windows closed, use air purifiers","Antihistamines, allergy shots"
Alzheimer's,"Memory loss, confusion, personality changes","Maintain daily routine, use memory aids","Ensure safety at home, avoid activities that cause confusion","Medication to manage symptoms"
Anemia,"Fatigue, weakness, pale skin","Iron supplements, increase iron-rich foods","Avoid caffeine and calcium supplements, avoid heavy periods","Iron supplements, blood transfusions"
Anxiety,"Nervousness, restlessness, excessive worry","Cognitive-behavioral therapy, medication (e.g. antidepressants)","Exercise regularly, practice relaxation techniques","Antidepressants, anti-anxiety medication"
Appendicitis,"Abdominal pain, nausea, vomiting","Surgery to remove appendix","Avoid taking laxatives, avoid eating solid foods","Surgery to remove appendix"
Arthritis,"Joint pain, stiffness, swelling","Regular exercise, weight management","Avoid high-impact activities, use assistive devices","Pain relief medication, disease-modifying antirheumatic drugs"
Asthma,"Wheezing, shortness of breath, chest tightness","Bronchodilators, inhaled corticosteroids","Avoiding triggers (e.g. tobacco smoke), avoiding cold air","Bronchodilators, inhaled corticosteroids"
Atherosclerosis,"Chest pain, shortness of breath, leg pain","Lifestyle changes (e.g. healthy diet, exercise)","Avoid smoking, manage blood pressure and cholesterol","Medication to reduce cholesterol and blood pressure"
Autism,"Difficulty with social interactions, repetitive behaviors","Behavioral therapy, educational interventions","Ensure a structured routine, avoid sensory overload","Behavioral therapy, medication to manage symptoms"
Back pain,"Pain in the back or neck","Physical therapy, stretching","Maintain good posture, avoid heavy lifting","Pain relief medication, physical therapy"
Bacterial vaginosis,"Vaginal discharge, odor, itching","Antibiotics, probiotics","Avoid douching, avoid unprotected sex","Antibiotics"
Bell's palsy,"Facial drooping, weakness, paralysis","Physical therapy, electrical stimulation","Protect the eye on the affected side, avoid extreme temperatures","Corticosteroids, antiviral medication"
Bladder cancer,"Blood in urine, frequent urination, pain during urination","Surgery, chemotherapy, radiation therapy","Avoid smoking, maintain a healthy diet","Surgery, chemotherapy, radiation therapy"
Bronchitis,"Cough, chest discomfort, fatigue","Rest, fluids, cough medicine","Avoid smoking, avoid contact with sick people","Antibiotics (if bacterial), symptom relief medication"
Carpal tunnel syndrome,"Numbness, tingling, weakness in hand or wrist","Bracing, physical therapy","Maintain good posture, take breaks from repetitive tasks","Bracing, physical therapy"
Cataracts,"Blurred vision, difficulty seeing at night","Surgery to remove cataract","Protect eyes from sunlight, maintain healthy diet","Surgery to remove cataract"
Celiac disease,"Abdominal pain, diarrhea, bloating","Gluten-free diet","Avoid gluten-containing"
